date,home_team,away_team
2022-11-20,Qatar,Ecuador
2022-11-21,Senegal,Netherlands
2022-11-21,England,IR Iran
2022-11-21,USA,Wales
2022-11-22,France,Australia
2022-11-22,Denmark,Tunisia
2022-11-22,Mexico,Poland
2022-11-22,Argentina,Saudi Arabia
2022-11-23,Belgium,Canada
2022-11-23,Spain,Costa Rica
2022-11-23,Germany,Japan
2022-11-23,Morocco,Croatia
2022-11-24,Switzerland,Cameroon
2022-11-24,Uruguay,Korea Republic
2022-11-24,Portugal,Ghana
2022-11-24,Brazil,Serbia
2022-11-25,Wales,IR Iran
2022-11-25,Qatar,Senegal
2022-11-25,Netherlands,Ecuador
2022-11-25,England,USA
2022-11-26,Tunisia,Australia
2022-11-26,Poland,Saudi Arabia
2022-11-26,France,Denmark
2022-11-26,Argentina,Mexico
2022-11-27,Japan,Costa Rica
2022-11-27,Belgium,Morocco
2022-11-27,Croatia,Canada
2022-11-27,Spain,Germany
2022-11-28,Cameroon,Serbia
2022-11-28,Korea Republic,Ghana
2022-11-28,Brazil,Switzerland
2022-11-28,Portugal,Uruguay
2022-11-29,Wales,England
2022-11-29,IR Iran,USA
2022-11-29,Ecuador,Senegal
2022-11-29,Netherlands,Qatar
2022-11-30,Australia,Denmark
2022-11-30,Tunisia,France
2022-11-30,Poland,Argentina
2022-11-30,Saudi Arabia,Mexico
2022-12-01,Croatia,Belgium
2022-12-01,Canada,Morocco
2022-12-01,Japan,Spain
2022-12-01,Costa Rica,Germany
2022-12-02,Ghana,Uruguay
2022-12-02,Korea Republic,Portugal
2022-12-02,Serbia,Switzerland
2022-12-02,Cameroon,Brazil
